# Mapeo: Descripción centro de costo (hoja Produccion) -> cliente en clientes_lideres (exacto en BD)
# Editar si el centro de costo no corresponde al cliente deseado.
centro_de_costo,cliente
Banco Falabella,FALABELLA BANCO
Banco de Bogota,BANCO DE BOGOTÁ
Claro/General,CLARO
Consorcio Sap,CONSORCIO
Experian Desarrollo,EXPERIAN
Experian Infra Windows,EXPERIAN
Experian PERÚ,EXPERIAN PERU
Experian/General,EXPERIAN
Falabella Retail,FALABELLA RETAIL
IBM/General,IBM Colombia
IQ  Outsourcing,IQ OUTSOURCING
Porvenir- Grupo AVAL,PORVENIR
Seguros ALFA,ALFA
XM,XM
